type,Num. of active electrodes,Mean of mean firing rate [spikes/sec],STD of mean firing rate,Mean Amp. [Uv],Std of Amp.
Control,1,1.3,0,-24.1,0
Control,40,3.6,6.1,-46.5,12.5
Control,43,1.8,1.7,-42.3,10.1
Shank3,23,3.1,3.3,-39.3,7.7
ASD,4,2.4,4,-30.4,4.8
ASD,19,0.3,0.5,-32.7,4.7
ASD,0,-1,-1,-1,-1
ASD,24,0.2,0.3,-31.7,4.3
Control,39,2.5,2.2,-51.7,15
Control,49,3,2.4,-45.3,11.2
Shank3,23,2.4,2.9,-36.4,8.1
ASD,9,0.1,0.1,-30.8,4.5
ASD,18,1.3,1.9,-32.7,4.5
ASD,3,0.2,0.3,-27.2,5.5
ASD,32,0.7,0.9,-33.4,4.3
Control,36,1.4,1.9,-45.8,13.7
Control,45,2.3,2.2,-46.8,11.2
Shank3,22,2.1,3.1,-35.5,7.1
ASD,6,0.3,0.2,-34.3,8.6
ASD,6,0.5,0.7,-33.3,3
ASD,4,0.4,0.4,-29.2,3.2
ASD,23,0.5,0.6,-35.3,10.9
ASD,3,3,2.6,-30.5,5.1
Control,12,1.7,2.6,-34.6,9.6
ASD,3,0,0,-35,6.5
Control,5,0.1,0,-29.1,3
ASD,15,0.3,0.4,-30,2.3
Control,20,2.6,3.4,-37.4,14
Shank3,35,6.7,5.8,-42.3,15.2
Shank3,16,3.2,3.2,-34,5.8
ASD,27,0.5,0.7,-34.8,10.1
Control,27,3.6,3.7,-38.3,10.3
Control,27,2.6,2.8,-37.1,10.2
ASD,4,0.1,0.1,-23.6,1.8
Control,1,2.8,0,-61.3,0
Control,3,0.1,0,-53.3,38.8
ASD,0,-1,-1,-1,-1
Control,3,0.1,0,-25.1,2.1
ASD,10,0.2,0.1,-28.6,2.1
Control,27,2.2,3.1,-32.9,7.7
Shank3,41,9.8,8.1,-44.9,20.1
Shank3,18,2.9,3.6,-34.3,9.1
ASD,17,0.4,0.5,-32.9,5.4
Control,17,1.6,1.9,-73.8,24.6
ASD,4,0.1,0.1,-26.9,1.7
Control,2,0.3,0.3,-23.7,2.7
ASD,5,0.1,0.1,-33.4,5.8
Control,0,-1,-1,-1,-1
ASD,15,0.5,0.7,-29.2,2.6
Control,26,2.3,2.5,-34.8,9.8
Shank3,44,8.1,6.6,-44.6,19.4
Shank3,24,2.4,3,-32.5,7.7
ASD,15,0.7,1.2,-33.5,5.8
Control,44,6.3,5.6,-39.5,12.7
Control,41,1.3,1.9,-32.2,8
Shank3,56,6.2,7.1,-42.8,17.6
ASD,43,0.6,1.1,-27.1,11.5
Control,51,6.2,6.8,-38.5,11.3
Shank3,45,7.8,6.2,-41.7,14.1
Control,43,6.2,5,-40.4,11.3
Control,26,0.3,0.3,-32.4,14.6
ASD,20,0.9,1.1,-31.9,5.8
ASD,0,-1,-1,-1,-1
Control,39,2.1,2.3,-44.1,10.5
Control,30,0.3,0.3,-37.9,7.1
Control,25,0.3,0.4,-32.7,8.4
ASD,27,1.5,1.9,-34.3,7.5
Control,0,-1,-1,-1,-1
Control,42,2.1,2.3,-46.8,15.4
Control,17,15.7,4.3,-41.1,7.4
Control,9,0.1,0.1,-33.7,7
